pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_1.t_index	sars-cov-2_pangenome_k32	1.0	11_sbwt	none	15	1	index	0	6.00	0.57	5.76	105%	165248	0	377992	6.013707
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_0.t_index	sars-cov-2_pangenome_k32	1.0	11_sbwt	none	23	0	index	0	10.69	1.59	10.21	110%	241048	0	1155048	10.700773
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_1.t_index	sars-cov-2_pangenome_k32	1.0	11_sbwt	none	23	1	index	0	7.86	0.93	7.49	107%	155000	0	635064	7.868105
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_0.t_index	sars-cov-2_pangenome_k32	1.0	11_sbwt	none	31	0	index	0	15.15	2.30	14.56	111%	415100	0	1748136	15.158654
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_1.t_index	sars-cov-2_pangenome_k32	1.0	11_sbwt	none	31	1	index	0	12.53	1.30	12.10	106%	226412	0	1012464	12.535494
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_0.t_index	spneumo_pangenome_k32	0.1	11_sbwt	none	15	0	index	0	20.89	1.30	19.97	101%	348656	0	1151520	20.901832
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_1.t_index	spneumo_pangenome_k32	0.1	11_sbwt	none	15	1	index	0	11.41	0.72	10.79	100%	229240	0	591496	11.418721
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_0.t_index	spneumo_pangenome_k32	0.1	11_sbwt	none	23	0	index	0	38.26	2.33	36.52	101%	691984	0	2187144	38.265672
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_1.t_index	spneumo_pangenome_k32	0.1	11_sbwt	none	23	1	index	0	20.89	1.38	19.76	101%	361324	0	1116128	20.898986
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_0.t_index	spneumo_pangenome_k32	0.1	11_sbwt	none	31	0	index	0	62.86	3.33	60.40	101%	1039244	0	3409552	62.870552
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_1.t_index	spneumo_pangenome_k32	0.1	11_sbwt	none	31	1	index	0	32.86	1.68	31.61	101%	545156	0	1738824	32.87288
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_0.t_index	spneumo_pangenome_k32	1.0	11_sbwt	none	15	0	index	0	8.61	1.08	8.31	109%	181848	0	798576	8.621663
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_1.t_index	spneumo_pangenome_k32	1.0	11_sbwt	none	15	1	index	0	7.22	0.73	7.06	107%	128484	0	494360	7.231354
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_0.t_index	spneumo_pangenome_k32	1.0	11_sbwt	none	23	0	index	0	9.28	1.39	8.99	111%	185756	0	1073080	9.288933
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_1.t_index	spneumo_pangenome_k32	1.0	11_sbwt	none	23	1	index	0	8.78	0.97	8.40	106%	120280	0	643536	8.788248
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_0.t_index	spneumo_pangenome_k32	1.0	11_sbwt	none	31	0	index	0	11.05	1.74	10.72	112%	349804	0	1376496	11.057548
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_1.t_index	spneumo_pangenome_k32	1.0	11_sbwt	none	31	1	index	0	9.18	1.11	8.74	107%	193700	0	807992	9.192169
