pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_1.0.S_global.k_31.d_na.t_index	escherichia_coli.k63	1.0	03_fmsi	global	31	na	index	0	535.89	4.73	530.48	99%	25061772	8	1280464	535.897194
escherichia_coli.k63.r_1.0.S_local.k_31.d_1.t_index	escherichia_coli.k63	1.0	03_fmsi	local	31	1	index	0	754.57	13.59	740.23	99%	29537752	808	1674688	754.582849
sars-cov-2_pangenome_k32.r_0.1.S_global.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.1	03_fmsi	global	15	na	index	0	0.32	0.02	0.29	99%	40712	0	2008	0.327123
sars-cov-2_pangenome_k32.r_0.1.S_local.k_15.d_1.t_index	sars-cov-2_pangenome_k32	0.1	03_fmsi	local	15	1	index	0	1.62	0.04	1.57	99%	117252	0	5472	1.627514
sars-cov-2_pangenome_k32.r_0.1.S_global.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.1	03_fmsi	global	23	na	index	0	1.33	0.02	1.30	99%	105144	0	5184	1.337078
sars-cov-2_pangenome_k32.r_0.1.S_local.k_23.d_1.t_index	sars-cov-2_pangenome_k32	0.1	03_fmsi	local	23	1	index	0	4.63	0.06	4.56	99%	295364	0	13592	4.639777
sars-cov-2_pangenome_k32.r_0.1.S_global.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.1	03_fmsi	global	31	na	index	0	2.54	0.03	2.50	99%	174888	0	8560	2.548365
sars-cov-2_pangenome_k32.r_0.1.S_local.k_31.d_1.t_index	sars-cov-2_pangenome_k32	0.1	03_fmsi	local	31	1	index	0	10.28	0.12	10.14	99%	556332	0	25320	10.292285
sars-cov-2_pangenome_k32.r_1.0.S_global.k_15.d_na.t_index	sars-cov-2_pangenome_k32	1.0	03_fmsi	global	15	na	index	0	2.40	0.12	2.27	99%	110484	0	5456	2.413006
sars-cov-2_pangenome_k32.r_1.0.S_local.k_15.d_1.t_index	sars-cov-2_pangenome_k32	1.0	03_fmsi	local	15	1	index	0	3.90	0.17	3.72	99%	164284	0	8992	3.91449
sars-cov-2_pangenome_k32.r_1.0.S_global.k_23.d_na.t_index	sars-cov-2_pangenome_k32	1.0	03_fmsi	global	23	na	index	0	2.87	0.07	2.78	99%	189716	0	9552	2.878663
sars-cov-2_pangenome_k32.r_1.0.S_local.k_23.d_1.t_index	sars-cov-2_pangenome_k32	1.0	03_fmsi	local	23	1	index	0	6.64	0.29	6.34	99%	267212	0	14720	6.648759
sars-cov-2_pangenome_k32.r_1.0.S_global.k_31.d_na.t_index	sars-cov-2_pangenome_k32	1.0	03_fmsi	global	31	na	index	0	4.63	0.08	4.54	99%	272444	0	13808	4.643856
sars-cov-2_pangenome_k32.r_1.0.S_local.k_31.d_1.t_index	sars-cov-2_pangenome_k32	1.0	03_fmsi	local	31	1	index	0	6.92	0.09	6.82	99%	382804	0	21144	6.928568
spneumo_pangenome_k32.r_0.1.S_global.k_15.d_na.t_index	spneumo_pangenome_k32	0.1	03_fmsi	global	15	na	index	0	0.46	0.01	0.44	99%	52600	0	2656	0.470947
spneumo_pangenome_k32.r_0.1.S_local.k_15.d_1.t_index	spneumo_pangenome_k32	0.1	03_fmsi	local	15	1	index	0	2.67	0.05	2.62	99%	160624	0	7568	2.683565
spneumo_pangenome_k32.r_0.1.S_global.k_23.d_na.t_index	spneumo_pangenome_k32	0.1	03_fmsi	global	23	na	index	0	1.48	0.03	1.44	99%	113536	0	5568	1.491169
spneumo_pangenome_k32.r_0.1.S_local.k_23.d_1.t_index	spneumo_pangenome_k32	0.1	03_fmsi	local	23	1	index	0	5.10	0.06	5.03	99%	305420	0	14072	5.108072
spneumo_pangenome_k32.r_0.1.S_global.k_31.d_na.t_index	spneumo_pangenome_k32	0.1	03_fmsi	global	31	na	index	0	2.50	0.02	2.47	99%	158944	0	7720	2.506478
spneumo_pangenome_k32.r_0.1.S_local.k_31.d_1.t_index	spneumo_pangenome_k32	0.1	03_fmsi	local	31	1	index	0	8.29	0.09	8.17	99%	476916	0	21720	8.294708
spneumo_pangenome_k32.r_1.0.S_global.k_15.d_na.t_index	spneumo_pangenome_k32	1.0	03_fmsi	global	15	na	index	0	1.88	0.04	1.82	99%	136232	0	6416	1.884736
spneumo_pangenome_k32.r_1.0.S_local.k_15.d_1.t_index	spneumo_pangenome_k32	1.0	03_fmsi	local	15	1	index	0	2.56	0.04	2.51	99%	181392	0	9784	2.567489
spneumo_pangenome_k32.r_1.0.S_global.k_23.d_na.t_index	spneumo_pangenome_k32	1.0	03_fmsi	global	23	na	index	0	2.56	0.05	2.50	99%	177812	0	8768	2.566258
spneumo_pangenome_k32.r_1.0.S_local.k_23.d_1.t_index	spneumo_pangenome_k32	1.0	03_fmsi	local	23	1	index	0	3.35	0.05	3.29	99%	212372	0	11424	3.358171
spneumo_pangenome_k32.r_1.0.S_global.k_31.d_na.t_index	spneumo_pangenome_k32	1.0	03_fmsi	global	31	na	index	0	3.32	0.05	3.27	99%	214468	0	10712	3.334309
spneumo_pangenome_k32.r_1.0.S_local.k_31.d_1.t_index	spneumo_pangenome_k32	1.0	03_fmsi	local	31	1	index	0	4.07	0.06	4.00	99%	256668	0	13936	4.080579
