pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumo_pangenome_k32.r_0.1.S_global.k_15.d_na.t_Neg	spneumo_pangenome_k32	0.1	04_fmsi_query	global	15	na	Neg	1000000	1.83	0.00	1.82	99%	4916	0	0	1.838496
spneumo_pangenome_k32.r_0.1.S_global.k_15.d_na.t_Pos	spneumo_pangenome_k32	0.1	04_fmsi_query	global	15	na	Pos	1000000	2.07	0.00	2.07	99%	4916	0	0	2.082724
spneumo_pangenome_k32.r_0.1.S_local.k_15.d_1.t_Neg	spneumo_pangenome_k32	0.1	04_fmsi_query	local	15	1	Neg	1000000	2.12	0.01	2.11	99%	6412	0	0	2.134448
spneumo_pangenome_k32.r_0.1.S_local.k_15.d_1.t_Pos	spneumo_pangenome_k32	0.1	04_fmsi_query	local	15	1	Pos	1000000	1.48	0.00	1.47	99%	6412	0	0	1.489701
spneumo_pangenome_k32.r_0.1.S_global.k_23.d_na.t_Neg	spneumo_pangenome_k32	0.1	04_fmsi_query	global	23	na	Neg	1000000	1.78	0.00	1.77	99%	5676	0	0	1.787462
spneumo_pangenome_k32.r_0.1.S_global.k_23.d_na.t_Pos	spneumo_pangenome_k32	0.1	04_fmsi_query	global	23	na	Pos	1000000	2.80	0.01	2.78	99%	5676	0	0	2.80791
spneumo_pangenome_k32.r_0.1.S_local.k_23.d_1.t_Neg	spneumo_pangenome_k32	0.1	04_fmsi_query	local	23	1	Neg	1000000	2.24	0.03	2.21	99%	8664	0	0	2.253108
spneumo_pangenome_k32.r_0.1.S_local.k_23.d_1.t_Pos	spneumo_pangenome_k32	0.1	04_fmsi_query	local	23	1	Pos	1000000	2.08	0.00	2.08	99%	8664	0	0	2.092078
spneumo_pangenome_k32.r_0.1.S_global.k_31.d_na.t_Neg	spneumo_pangenome_k32	0.1	04_fmsi_query	global	31	na	Neg	1000000	2.18	0.01	2.16	99%	6612	0	0	2.188559
spneumo_pangenome_k32.r_0.1.S_global.k_31.d_na.t_Pos	spneumo_pangenome_k32	0.1	04_fmsi_query	global	31	na	Pos	1000000	3.61	0.01	3.59	99%	6612	0	0	3.625154
spneumo_pangenome_k32.r_0.1.S_local.k_31.d_1.t_Neg	spneumo_pangenome_k32	0.1	04_fmsi_query	local	31	1	Neg	1000000	2.01	0.03	1.97	99%	11496	0	0	2.0216
spneumo_pangenome_k32.r_0.1.S_local.k_31.d_1.t_Pos	spneumo_pangenome_k32	0.1	04_fmsi_query	local	31	1	Pos	1000000	3.02	0.02	3.00	99%	11496	0	0	3.03299
spneumo_pangenome_k32.r_1.0.S_global.k_15.d_na.t_Neg	spneumo_pangenome_k32	1.0	04_fmsi_query	global	15	na	Neg	1000000	1.82	0.00	1.81	99%	6032	0	0	1.833708
spneumo_pangenome_k32.r_1.0.S_global.k_15.d_na.t_Pos	spneumo_pangenome_k32	1.0	04_fmsi_query	global	15	na	Pos	1000000	2.10	0.01	2.09	99%	6032	0	0	2.110674
spneumo_pangenome_k32.r_1.0.S_global.k_15.d_na.t_Str	spneumo_pangenome_k32	1.0	04_fmsi_query	global	15	na	Str	2860000	1.95	0.00	1.95	99%	6880	0	0	1.960789
spneumo_pangenome_k32.r_1.0.S_local.k_15.d_1.t_Neg	spneumo_pangenome_k32	1.0	04_fmsi_query	local	15	1	Neg	1000000	1.84	0.02	1.82	99%	7344	0	0	1.854967
spneumo_pangenome_k32.r_1.0.S_local.k_15.d_1.t_Pos	spneumo_pangenome_k32	1.0	04_fmsi_query	local	15	1	Pos	1000000	1.90	0.01	1.88	99%	7344	0	0	1.90597
spneumo_pangenome_k32.r_1.0.S_local.k_15.d_1.t_Str	spneumo_pangenome_k32	1.0	04_fmsi_query	local	15	1	Str	2860000	2.16	0.01	2.15	99%	8728	0	0	2.169213
spneumo_pangenome_k32.r_1.0.S_global.k_23.d_na.t_Neg	spneumo_pangenome_k32	1.0	04_fmsi_query	global	23	na	Neg	1000000	1.88	0.01	1.86	99%	6816	0	0	1.889983
spneumo_pangenome_k32.r_1.0.S_global.k_23.d_na.t_Pos	spneumo_pangenome_k32	1.0	04_fmsi_query	global	23	na	Pos	1000000	2.51	0.02	2.49	99%	6816	0	0	2.522864
spneumo_pangenome_k32.r_1.0.S_global.k_23.d_na.t_Str	spneumo_pangenome_k32	1.0	04_fmsi_query	global	23	na	Str	2780000	1.88	0.01	1.86	99%	8200	0	0	1.887259
spneumo_pangenome_k32.r_1.0.S_local.k_23.d_1.t_Neg	spneumo_pangenome_k32	1.0	04_fmsi_query	local	23	1	Neg	1000000	1.89	0.00	1.88	99%	8340	0	0	1.896324
spneumo_pangenome_k32.r_1.0.S_local.k_23.d_1.t_Pos	spneumo_pangenome_k32	1.0	04_fmsi_query	local	23	1	Pos	1000000	2.55	0.01	2.53	99%	8340	0	0	2.565431
spneumo_pangenome_k32.r_1.0.S_local.k_23.d_1.t_Str	spneumo_pangenome_k32	1.0	04_fmsi_query	local	23	1	Str	2780000	2.02	0.01	2.00	99%	9516	0	0	2.029958
spneumo_pangenome_k32.r_1.0.S_global.k_31.d_na.t_Neg	spneumo_pangenome_k32	1.0	04_fmsi_query	global	31	na	Neg	1000000	2.21	0.01	2.20	99%	7604	0	0	2.224806
spneumo_pangenome_k32.r_1.0.S_global.k_31.d_na.t_Pos	spneumo_pangenome_k32	1.0	04_fmsi_query	global	31	na	Pos	1000000	3.20	0.03	3.16	99%	7604	0	0	3.207235
spneumo_pangenome_k32.r_1.0.S_global.k_31.d_na.t_Str	spneumo_pangenome_k32	1.0	04_fmsi_query	global	31	na	Str	2700000	2.36	0.01	2.34	99%	9308	0	0	2.366772
spneumo_pangenome_k32.r_1.0.S_local.k_31.d_1.t_Neg	spneumo_pangenome_k32	1.0	04_fmsi_query	local	31	1	Neg	1000000	1.92	0.01	1.90	99%	8924	0	0	1.932894
spneumo_pangenome_k32.r_1.0.S_local.k_31.d_1.t_Pos	spneumo_pangenome_k32	1.0	04_fmsi_query	local	31	1	Pos	1000000	3.75	0.00	3.74	99%	8924	0	0	3.763997
spneumo_pangenome_k32.r_1.0.S_local.k_31.d_1.t_Str	spneumo_pangenome_k32	1.0	04_fmsi_query	local	31	1	Str	2700000	2.31	0.00	2.30	99%	10836	0	0	2.320354
