pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumo_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Pos	spneumo_pangenome_k32	0.1	27_sshash_query	prophasm	31	na	Pos	1000000	2.09	0.03	2.05	99%	13960	0	0	2.096884
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Neg	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	15	na	Neg	1000000	1.07	0.01	1.05	99%	18312	0	0	1.074734
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Pos	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	15	na	Pos	1000000	0.91	0.02	0.89	99%	18312	0	0	0.922413
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Str	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	15	na	Str	2860000	0.95	0.01	0.94	99%	18312	0	0	0.962925
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Neg	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	23	na	Neg	1000000	1.56	0.01	1.55	99%	11848	0	0	1.568167
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Pos	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	23	na	Pos	1000000	1.27	0.02	1.24	99%	11848	0	0	1.276586
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Str	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	23	na	Str	2780000	0.63	0.01	0.61	99%	11848	0	0	0.635584
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Neg	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	31	na	Neg	1000000	1.86	0.04	1.81	99%	11380	0	0	1.868542
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Pos	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	31	na	Pos	1000000	1.64	0.03	1.61	99%	11380	0	0	1.64913
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Str	spneumo_pangenome_k32	1.0	27_sshash_query	prophasm	31	na	Str	2700000	0.49	0.01	0.48	99%	11380	0	0	0.503687
