pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_0.t_Pos	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	15	0	Pos	1000000	0.59	0.01	0.58	99%	35376	0	0	0.604344
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_0.t_Str	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	15	0	Str	2860000	0.32	0.01	0.31	100%	36692	0	0	0.331824
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_1.t_Neg	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	15	1	Neg	1000000	4.60	0.03	4.54	99%	32804	124352	0	4.61006
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_1.t_Pos	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	15	1	Pos	1000000	6.88	0.03	6.82	99%	32804	124352	0	6.891923
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_1.t_Str	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	15	1	Str	2860000	3.43	0.01	3.41	99%	33328	0	0	3.438045
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_0.t_Neg	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	23	0	Neg	1000000	0.51	0.01	0.49	99%	39072	0	0	0.516146
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_0.t_Pos	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	23	0	Pos	1000000	1.07	0.02	1.04	99%	39072	0	0	1.075583
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_0.t_Str	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	23	0	Str	2780000	0.34	0.01	0.32	100%	41180	0	0	0.346073
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_1.t_Neg	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	23	1	Neg	1000000	4.79	0.04	4.68	98%	33600	155600	0	4.795195
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_1.t_Pos	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	23	1	Pos	1000000	11.78	0.07	11.64	99%	33600	155600	0	11.792716
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_1.t_Str	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	23	1	Str	2780000	3.81	0.00	3.79	99%	34916	14584	0	3.815993
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_0.t_Neg	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	31	0	Neg	1000000	0.63	0.02	0.60	100%	42896	0	0	0.637611
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_0.t_Pos	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	31	0	Pos	1000000	1.56	0.02	1.53	99%	42896	0	0	1.564855
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_0.t_Str	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	31	0	Str	2700000	0.35	0.02	0.32	99%	45728	0	0	0.356439
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_1.t_Neg	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	31	1	Neg	1000000	4.60	0.03	4.57	99%	34912	0	0	4.614533
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_1.t_Pos	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	31	1	Pos	1000000	15.93	0.11	15.70	99%	34912	186856	0	15.938992
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_1.t_Str	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	31	1	Str	2700000	6.60	0.02	6.57	99%	36492	0	0	6.611019
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_0.t_Neg	spneumo_pangenome_k32	0.1	12_sbwt_query	none	15	0	Neg	1000000	0.42	0.01	0.40	99%	33792	0	0	0.427415
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_0.t_Pos	spneumo_pangenome_k32	0.1	12_sbwt_query	none	15	0	Pos	1000000	0.63	0.01	0.61	99%	33792	0	0	0.636694
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_1.t_Neg	spneumo_pangenome_k32	0.1	12_sbwt_query	none	15	1	Neg	1000000	4.16	0.04	4.03	98%	32012	124352	0	4.17172
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_1.t_Pos	spneumo_pangenome_k32	0.1	12_sbwt_query	none	15	1	Pos	1000000	6.67	0.04	6.58	99%	32012	124352	0	6.679267
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_0.t_Neg	spneumo_pangenome_k32	0.1	12_sbwt_query	none	23	0	Neg	1000000	0.50	0.01	0.48	99%	40324	0	0	0.508898
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_0.t_Pos	spneumo_pangenome_k32	0.1	12_sbwt_query	none	23	0	Pos	1000000	1.05	0.02	1.02	99%	40324	0	0	1.06315
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_1.t_Neg	spneumo_pangenome_k32	0.1	12_sbwt_query	none	23	1	Neg	1000000	4.76	0.06	4.66	99%	34108	155600	0	4.768883
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_1.t_Pos	spneumo_pangenome_k32	0.1	12_sbwt_query	none	23	1	Pos	1000000	12.25	0.06	12.14	99%	34108	155600	0	12.256402
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_0.t_Neg	spneumo_pangenome_k32	0.1	12_sbwt_query	none	31	0	Neg	1000000	0.62	0.03	0.58	99%	48764	0	0	0.628629
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_0.t_Pos	spneumo_pangenome_k32	0.1	12_sbwt_query	none	31	0	Pos	1000000	2.06	0.04	2.02	99%	48764	0	0	2.06705
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_1.t_Neg	spneumo_pangenome_k32	0.1	12_sbwt_query	none	31	1	Neg	1000000	4.85	0.06	4.75	99%	36676	186856	0	4.863192
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_1.t_Pos	spneumo_pangenome_k32	0.1	12_sbwt_query	none	31	1	Pos	1000000	20.49	0.09	20.33	99%	36920	186856	0	20.495935
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_0.t_Neg	spneumo_pangenome_k32	1.0	12_sbwt_query	none	15	0	Neg	1000000	0.45	0.02	0.43	99%	37224	0	0	0.463774
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_0.t_Pos	spneumo_pangenome_k32	1.0	12_sbwt_query	none	15	0	Pos	1000000	0.61	0.02	0.59	99%	37224	0	0	0.619323
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_0.t_Str	spneumo_pangenome_k32	1.0	12_sbwt_query	none	15	0	Str	2860000	0.29	0.01	0.28	99%	38804	0	0	0.302871
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_1.t_Neg	spneumo_pangenome_k32	1.0	12_sbwt_query	none	15	1	Neg	1000000	4.38	0.03	4.35	99%	33332	0	0	4.39438
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_1.t_Pos	spneumo_pangenome_k32	1.0	12_sbwt_query	none	15	1	Pos	1000000	6.76	0.07	6.66	99%	33332	124352	0	6.774142
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_1.t_Str	spneumo_pangenome_k32	1.0	12_sbwt_query	none	15	1	Str	2860000	5.19	0.01	5.17	99%	34384	14800	0	5.198768
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_0.t_Neg	spneumo_pangenome_k32	1.0	12_sbwt_query	none	23	0	Neg	1000000	0.51	0.03	0.48	100%	38808	0	0	0.517555
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_0.t_Pos	spneumo_pangenome_k32	1.0	12_sbwt_query	none	23	0	Pos	1000000	1.04	0.02	1.01	99%	38808	0	0	1.049374
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_0.t_Str	spneumo_pangenome_k32	1.0	12_sbwt_query	none	23	0	Str	2780000	0.35	0.02	0.32	99%	40916	0	0	0.354992
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_1.t_Neg	spneumo_pangenome_k32	1.0	12_sbwt_query	none	23	1	Neg	1000000	3.72	0.04	3.68	99%	33528	0	0	3.73244
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_1.t_Pos	spneumo_pangenome_k32	1.0	12_sbwt_query	none	23	1	Pos	1000000	10.64	0.07	10.53	99%	33528	155600	0	10.646792
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_1.t_Str	spneumo_pangenome_k32	1.0	12_sbwt_query	none	23	1	Str	2780000	6.48	0.00	6.46	99%	34580	0	0	6.485349
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_0.t_Neg	spneumo_pangenome_k32	1.0	12_sbwt_query	none	31	0	Neg	1000000	0.54	0.02	0.52	100%	40324	0	0	0.549677
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_0.t_Pos	spneumo_pangenome_k32	1.0	12_sbwt_query	none	31	0	Pos	1000000	1.47	0.02	1.44	99%	40324	0	0	1.479336
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_0.t_Str	spneumo_pangenome_k32	1.0	12_sbwt_query	none	31	0	Str	2700000	0.32	0.02	0.30	99%	42696	0	0	0.326079
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_1.t_Neg	spneumo_pangenome_k32	1.0	12_sbwt_query	none	31	1	Neg	1000000	3.66	0.03	3.62	99%	33788	0	0	3.666486
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_1.t_Pos	spneumo_pangenome_k32	1.0	12_sbwt_query	none	31	1	Pos	1000000	12.41	0.07	12.30	99%	33788	186856	0	12.423554
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_1.t_Str	spneumo_pangenome_k32	1.0	12_sbwt_query	none	31	1	Str	2700000	10.29	0.01	10.27	99%	35108	0	0	10.301698
