pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_Pos	escherichia_coli.k63	1.0	16_bwa_query	prophasm	23	na	Pos	1000000	18.37	1.78	16.57	99%	4050040	0	0	18.385374
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_Str	escherichia_coli.k63	1.0	16_bwa_query	prophasm	23	na	Str	2780000	17.22	1.43	15.77	99%	4050044	0	0	17.229817
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_Neg	escherichia_coli.k63	1.0	16_bwa_query	prophasm	31	na	Neg	1000000	26.10	1.79	24.28	99%	4149060	0	0	26.107324
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_Pos	escherichia_coli.k63	1.0	16_bwa_query	prophasm	31	na	Pos	1000000	18.29	1.65	16.61	99%	4149060	0	0	18.299884
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_Str	escherichia_coli.k63	1.0	16_bwa_query	prophasm	31	na	Str	2700000	17.37	1.71	15.64	99%	4149064	0	0	17.376602
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	16_bwa_query	prophasm	15	na	Neg	1000000	3.31	0.08	3.22	99%	54676	0	0	3.320646
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	16_bwa_query	prophasm	15	na	Pos	1000000	3.13	0.03	3.09	99%	54676	0	0	3.143952
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	16_bwa_query	prophasm	23	na	Neg	1000000	6.22	0.05	6.15	99%	99404	16	0	6.228909
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	16_bwa_query	prophasm	23	na	Pos	1000000	5.83	0.06	5.75	99%	99404	0	0	5.836697
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	16_bwa_query	prophasm	31	na	Neg	1000000	11.10	0.07	11.02	99%	150884	0	0	11.110868
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	16_bwa_query	prophasm	31	na	Pos	1000000	8.43	0.08	8.33	99%	150880	0	0	8.441139
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	15	na	Neg	1000000	2.84	0.02	2.81	99%	46756	0	0	2.849821
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	15	na	Pos	1000000	3.74	0.05	3.68	99%	46756	0	0	3.750036
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	15	na	Str	2860000	5.87	0.03	5.84	99%	46756	0	0	5.88361
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	23	na	Neg	1000000	6.19	0.04	6.14	99%	56300	0	0	6.195857
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	23	na	Pos	1000000	5.02	0.03	4.99	99%	56300	0	0	5.035448
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	23	na	Str	2780000	7.79	0.07	7.71	99%	56300	0	0	7.799331
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	31	na	Neg	1000000	8.47	0.03	8.42	99%	68620	0	0	8.47996
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	31	na	Pos	1000000	7.35	0.04	7.29	99%	68620	8	0	7.357536
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	16_bwa_query	prophasm	31	na	Str	2700000	8.91	0.03	8.87	99%	68628	0	0	8.91844
spneumo_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Neg	spneumo_pangenome_k32	0.1	16_bwa_query	prophasm	15	na	Neg	1000000	3.42	0.03	3.39	99%	75124	0	0	3.432031
spneumo_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Pos	spneumo_pangenome_k32	0.1	16_bwa_query	prophasm	15	na	Pos	1000000	4.09	0.05	4.04	99%	75124	0	0	4.103989
spneumo_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Neg	spneumo_pangenome_k32	0.1	16_bwa_query	prophasm	23	na	Neg	1000000	5.61	0.04	5.55	99%	102564	0	0	5.616104
spneumo_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Pos	spneumo_pangenome_k32	0.1	16_bwa_query	prophasm	23	na	Pos	1000000	6.38	0.06	6.31	99%	102776	0	0	6.392814
spneumo_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Neg	spneumo_pangenome_k32	0.1	16_bwa_query	prophasm	31	na	Neg	1000000	10.85	0.06	10.78	99%	129408	0	0	10.862275
spneumo_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Pos	spneumo_pangenome_k32	0.1	16_bwa_query	prophasm	31	na	Pos	1000000	8.37	0.05	8.31	99%	129532	0	0	8.383334
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Neg	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	15	na	Neg	1000000	2.91	0.03	2.87	99%	42072	0	0	2.917965
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Pos	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	15	na	Pos	1000000	3.48	0.03	3.44	99%	42072	0	0	3.495866
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Str	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	15	na	Str	2860000	1.50	0.02	1.48	99%	42072	0	0	1.51179
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Neg	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	23	na	Neg	1000000	5.17	0.02	5.14	99%	36000	0	0	5.184021
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Pos	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	23	na	Pos	1000000	3.40	0.05	3.34	99%	36000	0	0	3.406711
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Str	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	23	na	Str	2780000	0.83	0.02	0.80	99%	36000	0	0	0.840099
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Neg	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	31	na	Neg	1000000	8.23	0.01	8.20	99%	39420	0	0	8.238678
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Pos	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	31	na	Pos	1000000	4.90	0.03	4.87	99%	39420	0	0	4.912672
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Str	spneumo_pangenome_k32	1.0	16_bwa_query	prophasm	31	na	Str	2700000	0.90	0.01	0.88	99%	39100	0	0	0.913557
