pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	22_cbl_query	none	23	na	Pos	1000000	0.88	0.04	0.83	99%	54864	0	0	0.888736
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	22_cbl_query	none	31	na	Neg	1000000	0.84	0.04	0.80	99%	55288	0	0	0.850674
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	22_cbl_query	none	31	na	Pos	1000000	0.98	0.03	0.95	99%	55288	0	0	0.992975
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	15	na	Neg	1000000	1.03	0.11	0.91	99%	187692	0	0	1.042582
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	15	na	Pos	1000000	1.38	0.11	1.26	99%	187692	0	0	1.387884
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	15	na	Str	2860000	1.08	0.09	0.99	99%	187692	0	0	1.094846
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	23	na	Neg	1000000	1.03	0.09	0.93	99%	170664	0	0	1.039592
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	23	na	Pos	1000000	1.36	0.09	1.27	99%	170664	0	0	1.369606
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	23	na	Str	2780000	1.08	0.11	0.96	99%	170664	0	0	1.093276
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	31	na	Neg	1000000	1.52	0.19	1.32	99%	297652	0	0	1.53549
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	31	na	Pos	1000000	1.96	0.23	1.72	99%	297652	0	0	1.966714
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	22_cbl_query	none	31	na	Str	2700000	1.49	0.20	1.28	99%	297656	0	0	1.499278
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_na.t_Neg	spneumo_pangenome_k32	0.1	22_cbl_query	none	15	na	Neg	1000000	0.56	0.04	0.51	99%	59504	0	0	0.568389
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_na.t_Pos	spneumo_pangenome_k32	0.1	22_cbl_query	none	15	na	Pos	1000000	0.75	0.03	0.72	99%	59504	0	0	0.762709
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_na.t_Neg	spneumo_pangenome_k32	0.1	22_cbl_query	none	23	na	Neg	1000000	0.66	0.02	0.63	99%	62732	0	0	0.671874
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_na.t_Pos	spneumo_pangenome_k32	0.1	22_cbl_query	none	23	na	Pos	1000000	0.94	0.06	0.87	99%	62732	0	0	0.94672
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_na.t_Neg	spneumo_pangenome_k32	0.1	22_cbl_query	none	31	na	Neg	1000000	0.77	0.05	0.72	99%	61232	0	0	0.779038
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_na.t_Pos	spneumo_pangenome_k32	0.1	22_cbl_query	none	31	na	Pos	1000000	1.01	0.03	0.98	100%	61232	0	0	1.018354
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_na.t_Neg	spneumo_pangenome_k32	1.0	22_cbl_query	none	15	na	Neg	1000000	1.24	0.15	1.08	99%	243704	0	0	1.25247
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_na.t_Pos	spneumo_pangenome_k32	1.0	22_cbl_query	none	15	na	Pos	1000000	1.57	0.11	1.45	99%	243704	0	0	1.583146
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_na.t_Str	spneumo_pangenome_k32	1.0	22_cbl_query	none	15	na	Str	2860000	1.75	0.15	1.59	99%	243704	0	0	1.762785
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_na.t_Neg	spneumo_pangenome_k32	1.0	22_cbl_query	none	23	na	Neg	1000000	1.11	0.10	1.00	99%	206084	0	0	1.116522
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_na.t_Pos	spneumo_pangenome_k32	1.0	22_cbl_query	none	23	na	Pos	1000000	1.59	0.12	1.46	99%	206084	0	0	1.60396
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_na.t_Str	spneumo_pangenome_k32	1.0	22_cbl_query	none	23	na	Str	2780000	1.35	0.11	1.23	99%	206088	0	0	1.365031
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_na.t_Neg	spneumo_pangenome_k32	1.0	22_cbl_query	none	31	na	Neg	1000000	1.30	0.11	1.19	99%	189308	0	0	1.311781
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_na.t_Pos	spneumo_pangenome_k32	1.0	22_cbl_query	none	31	na	Pos	1000000	1.82	0.14	1.67	99%	189308	0	0	1.828062
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_na.t_Str	spneumo_pangenome_k32	1.0	22_cbl_query	none	31	na	Str	2700000	1.43	0.13	1.30	99%	189312	0	0	1.443068
